code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
2209620004087	http://world-en.openfoodfacts.org/product/2209620004087/poulet-cuit-fume-au-bois-de-hetre-l-etal-du-volailler	Poulet Cuit Fumé au Bois de Hêtre	l-etal-du-volailler,lidl	Lidl	NA	en:french-meat,en:french-poultry,en:smoked-with-beech-wood	2	b	Variable	12	3.4	0.5	28	7	796	0.499999999999999	0.2	1039	f	m	m	l	m	f	f	f
2410750044151	http://world-en.openfoodfacts.org/product/2410750044151/poulet-cuit-fume-au-bois-de-hetre-et-de-cedre-volae	Poulet cuit, fumé au bois de Hêtre et de Cèdre	volae	NA	NA	en:french-meat,en:french-poultry,en:nutriscore,en:nutriscore-grade-a	4	c	NA	8.5	2.5	0.7	19	0.8	657	1.5	0.6	651.1	f	m	m	l	m			
2209708005203	http://world-en.openfoodfacts.org/product/2209708005203/poulet-cuit-fume-au-bois-de-hetre-et-de-chene	Poulet cuit fumé au bois de hetre et de chene	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2410750036934	http://world-en.openfoodfacts.org/product/2410750036934/poulet-cuit-fume-au-bois-de-hetre-et-de-chene-volae	Poulet cuit fumé au bois de hêtre et de chêne	volae	NA	NA	en:nutriscore,en:nutriscore-grade-c	5	c	NA	9.5	2.8	0.8	19	1.1	695	1.5	0.6	693.2	f	m	m	l	m			
2209623006514	http://world-en.openfoodfacts.org/product/2209623006514/poulet-cuit-fume-au-bois-de-hetre-et-de-chene	Poulet cuit fumé au bois de hêtre et de chêne	NA	NA	NA	en:french-meat,en:french-poultry	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2410750035951	http://world-en.openfoodfacts.org/product/2410750035951/poulet-cuit-fume-au-bois-de-hetre-et-de-chene	Poulet cuit fumé au bois de hêtre et de chêne	NA	NA	NA	en:french-meat,en:french-poultry	5	c	NA	9.5	2.8	0.8	19	1.1	695	1.5	0.6	693.2	f	m	m	l	m			
2209625005416	http://world-en.openfoodfacts.org/product/2209625005416/poulet-cuit-fume-au-bois-de-hetre-et-de-chene	Poulet cuit fumé au bois de hêtre et de chêne	NA	NA	NA	en:french-meat,en:french-poultry,en:green-dot	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	f	m	m	l	m			
2209627004691	http://world-en.openfoodfacts.org/product/2209627004691/poulet-cuit-fume-au-bois-de-hetre-et-de-chene	Poulet cuit fumé au bois de hêtre et de chêne	NA	NA	NA	NA	4	c	NA	9.6	2.8	0.9	20	1	711	1.3	0.52	712.2	NA	m	m	l	m			
2410750038907	http://world-en.openfoodfacts.org/product/2410750038907/poulet-cuit-fume-au-boisde-hetre-et-de-chene-volae	Poulet cuit fumé au boisde hêtre et de chêne	volae	NA	NA	en:french-meat,en:french-poultry	5	c	NA	9.5	2.8	0.8	19	1.1	695	1.5	0.6	693.2	f	m	m	l	m			
2209620006319	http://world-en.openfoodfacts.org/product/2209620006319/poulet-cuit-fume-au-bois-de-hetres	Poulet cuit fume au bois de hetres	NA	NA	NA	NA	11	d	NA	12	3.4	0.7	20	0.7	799	1.5	0.6	795.9	NA	m	m	l	m			
